name,description,killed,year,duration,country
War of the Holy League,"Pope, Spain, Venice, Swiss Con, emperor, England-France, Scotland, Florence, 1511-14",17500,1511,3,Pope
Italian Unification War,"Italy, 1859-61",17500,1859,1,Italy
,"Hungary (with Turkish and German intervention), 1526-28",17000,1526,2,Hungary
Ninth War of Religion,"France (with intervention by Spain), 1589-98",17000,1589,9,France
Maumee War,"Maumee-USA, 1790-94",17000,1790,4,Maumee
Bali War,"Indonesia (Bali)-Netherlands, 1839-49",17000,1839,10,Indonesia
Mexican-American War,"Mexico-USA, 1846-48",17000,1846,2,Mexico
,"China (minority in Guangxi), 1580",16900,1580,0,China
Anglo-Spanish War (Europe),"England, France, Lorraine-Spain, Savoy, 1656-59",16650,1656,3,England
Third Anglo-Dutch War,"England-United Provinces, 1672-74",16200,1672,2,England
Russo-Polish War,"Russia-Poland, 1632-34",16050,1632,2,Russia
,"Emperor-Turkey, 1576-83",16000,1576,7,Emperor
Bantam Conquest,"Netherlands-Bantams (Indonesia), 1808",16000,1808,0,Netherlands
,"Afghanistan (Kandahar), 1834",16000,1834,0,Afghanistan
First Zulu War,"Boers-Zulus, 1838-40",16000,1838,2,Boers
Mahdi Uprising,"Britain, Egypt-Sudan-France, 1896-99",16000,1896,3,United_Kingdom
Boxer Rebellion,"China (with intervention by Britain, France, United States, Japan, Germany), 1900-01",16000,1900,1,China
,"Libyans-Italy, 1911-17",16000,1911,6,Libyans
Yom Kippur War,"Egypt, Syria, Jordan, Saudi Arabia, Iraq, Morocco-Israel, 1973",16000,1973,0,Egypt
Politicide of leftists,"Chile, 1973-74 G",16000,1973,1,Chile
,"Muscovy-Teutonic (Livonian) Order, 1480-83 *",15200,1480,3,Muscovy
,"Muscovy-(Poland-Lithuania), 1489-90 *",15200,1489,1,Muscovy
Six Day War,"Israel-Egypt, Jordan, Syria, 1967",15100,1967,0,Israel
,"China (Miao-tseu), 1795-97",15000,1795,2,China
Sepoy Rebellion ?,"India-Britain, 1857-59",15000,1857,2,India
Italo-Sicilian War,"Garibaldeans, Piedmont-Naples, 1860-61",15000,1860,1,Garibaldeans
Sino-Japanese War,"Japan-China (Liaodong, Korea), 1894-95",15000,1894,1,Japan
Politicide of landlords and rich peasants,"North Vietnam, 1953-54 G",15000,1953,1,North_Vietnam
Guinea-Bissau War,"(Guinea-Bissau)-Portugal, 1962-74",15000,1962,12,Guinea-Bissau
Tigrean War,"Ethiopia (Tigre), 1975-91",15000,1975,16,Ethiopia
,"Argentina, 1976-79",15000,1976,3,Argentina
Genocide of religious groups,"Iran, 1981-89 G",15000,1981,8,Iran
Tamil Rebellion,"Sri Lanka (Tamils), 1983-",14900,1983,,Sri_Lanka
,"China (Guangdong), 1524",14000,1524,0,China
First Huguenot War,"France (Huguenots, with intervention by England), 1562-63",14000,1562,1,France
Second (Third?) Carlist War,"Spain (Carlists with Basque support), 1872-76",14000,1872,4,Spain
Satsuma Rebellion,"Japan, 1877",14000,1877,0,Japan
Zulu War,"Britain-Zulus (South Africa), 1879",14000,1879,0,United_Kingdom
,"Iran, 1981-84",14000,1981,3,Iran
War of the Pacific,"Chile-Peru, Bolivia, 1879-81",13868,1879,2,Chile
Russo-Polish War,"Muscovy, Teutonic Order-(Poland-Lithuania), 1512-14",13200,1512,2,Muscovy
Livonian War,"Muscovy-Teutonic Order, Knights of Livonia, 1557-58",13200,1557,1,Muscovy
,"Ching (Ming)-Japanese pirates, rebels (Zhejiang, Fujian, Guangxi), 1547-66",13100,1547,1,China
,"Emperor-Transylvania (protestants), 1601-04",13000,1601,3,Emperor
Shimabara Rebellion,"Japan (Nagasaka and Kumamoto kens), 1637-38",13000,1637,1,Japan
,"Ireland (Donalds), Highland Scots-Scotland (Campbells and Covenanters), 1644-46",13000,1644,2,Ireland
,"China (Qing)-Zhungeer (Tibet), 1718",13000,1718,0,China
Second British-Afghan War,"Britain-Afghanistan, 1878-80",13000,1878,2,United_Kingdom
Malayan Rebellion,"Malayans-Britain, 1948-60",13000,1948,12,Malayans
Russo-Lithuanian War with Vitoft?,"Muscovy-Poland, Lithuania, 1406-08",12800,1406,2,Muscovy
,"China (peasants in Guangdong), 1572",12661,1572,0,China
End Phase of Hundred Years War,"England-France, 1449-53",12500,1449,4,England
Revolt of Zybrzidowski,"Poland (Gentry), 1606-09",12250,1606,3,Poland
Tonkin War,"China, Vietnam-France, 1883-85",12100,1883,2,China
,"Burgundy, Savoy-Swiss confederation, Tyrol, Lorraine, France, 1475-77",12000,1474,3,Burgundy
,"Turkey-Spain, 1569-80",12000,1569,11,Turkey
,"Russia (Stenka Razin revolt), 1670-71",12000,1670,1,Russia
First Russo-Turkish War,"Turkey, Cossacks-Russia (Ukraine), 1677-81",12000,1677,4,Turkey
Third Maratha (and Pindari) War,"Britain-Marathas (India), 1817-18",12000,1817,1,United_Kingdom
Second Turko-Egyptian War,"Egypt-Turkey, Maronites, Druzes (assisted by Britain and Austria), 1839-40",12000,1839,1,Egypt
First Opium War,"Britain, France-China, 1839-42",12000,1839,3,United_Kingdom
Baluchi-British War,"Britain-Sind (Baluchis), 1843",12000,1843,0,United_Kingdom
,"Zimbabwe, 1966-79",12000,1966,13,Zimbabwe
,"South Yemen, 1986",12000,1986,0,South Yemen
War of the Confederation of Bar,"Poland (with Russian, French, Turkish and Austrian intervention), 1768-72",11500,1768,4,Poland
Le Fronde,"France, 1648-53",11250,1648,5,France
,"Austria-Sardinia, 1696-97",11200,1696,1,Austria
French Revolutionary Wars (Egyptian Expedition),"France-Egypt, Britain, Turkey, Russia, 1798-1801",11200,1798,3,France
,"Pakistan-India, 1971",11200,1971,0,Pakistan
,"Chad, 1980-88",11200,1980,8,Chad
,"China (Jiangxi), 1512",11000,1512,0,China
Franco-Spanish War,"Pope (till 1557), France-Emperor, Savoy, 1556-59",11000,1556,3,Pope
Anglo-French War,"France-England, 1556-59",11000,1557,2,France
Russo-Georgian War,"Russia-Georgia, 1816-25",11000,1816,9,Russia
Kandyan Rebellion,"Britain-Sri Lanka (Kandyans), 1817-18",11000,1817,1,United_Kingdom
,"Argentina, 1841-51",11000,1841,10,Argentina
Austro-Sardinian War,"Sardinia-Austria (with French intervention), 1848-1849",11000,1848,1,Sardinia
Second Opium War,"Britain, France-China, 1856-60",11000,1856,4,United_Kingdom
War of the Chilean Revolution,"Chile (Congress), 1891",11000,1891,0,Chile
Kun's Red Terror,"Hungary-Czechoslovakia, Romania, 1919",11000,1919,0,Hungary
Moplah Rebellion,"Indians (Moplahs)-Britain, 1921-22",11000,1921,1,Indians
Massacre of Koreans in Japan,"Japan-Korea (Koreans massacred in Japan), 1923",11000,1923,0,Japan
,"Britain, Hindus-Waziri Moslems, 1936-38",11000,1936,2,United_Kingdom
Crimean War of Vasily III,"Muscovy-Crimean Tartars, 1515-23",10800,1515,8,Muscovy
,"Prussian League, (Poland-Lithuania)-Teutonic Order, 1454-66",10400,1454,12,Prussian League
,"China (Guangxi), 1428-30",10380,1428,2,China
Second Milanese War,"France, Venice-Milan, Swiss Confederation, emperor, pope, 1515-16",10150,1515,1,France
,"Britain-Bengalis, 1763-65",10105,1763,2,United_Kingdom
,"China (minority in Hebei, Shandong, Anhui, Jiangsu), 1400-02",10000,1400,2,China
,"China (Guangxi), 1407",10000,1407,0,China
,"China (peasants in Hubei), 1465-66",10000,1465,1,China
,"China (Miao in Guazhou), 1476",10000,1476,0,China
Spanish Christian-Muslim War,"Spain-Granada (Moors), 1481-92",10000,1481,11,Spain
,"France, Spain-Milan, Naples, 1500-02",10000,1500,2,France
Invasion of Naples by Louis XII,"Spain-France (Naples), 1502-04",10000,1502,2,Spain
War of the League of Cambrai,"Pope, Spain, France, emperor, Mantua-Venice, 1508-10",10000,1508,2,Pope
Scottish War,"Scotland-England, 1513",10000,1513,0,Scotland
,"Japan-Korea, China (in Korea), 1597-99",10000,1597,2,Japan
Russo-Polish War,"Poland-Russia, 1608-12",10000,1608,4,Poland
Bethlen-Gabor War,"Emperor-Transylvania, 1619-27",10000,1619,8,Emperor
,"Russia-China, Korea (Amur), 1647-58",10000,1647,11,Russia
Russo-Swedish War,"Sweden-Russia, 1741-43",10000,1741,2,Sweden
Tukulor War,"Senegal-Bambara, 1810",10000,1810,0,Senegal
,"Ecuador, Peru, Bolivia-Spain, 1822-24",10000,1822,2,Ecuador
,"Russia (Caucasus) (Abkhasia? Circassians?), 1829-40",10000,1829,11,Russia
Belgian Revolt,"Holland (Belgium), 1830",10000,1830,0,Netherlands
Franco-Algerian War,"France-Algiers, 1830",10000,1830,0,France
,"Uruguay (intervention by France, Britain, Argentina), 1836-40",10000,1836,4,Uruguay
Second British-Sikh War,"Britain-Sikhs, 1848-49",10000,1848,1,United_Kingdom
Moroccan War,"Spain-Morocco (French and British intervention), 1859-60",10000,1859,1,Spain
War for Sudanese Independence,"Ethiopia-Egyptians (Suakins)-Sudanese (Dafurians)-Shiluks, 1885-95",10000,1885,10,Ethiopia
Spanish-Moroccan War,"Spain-Morocco (Melilla), 1909-10",10000,1909,1,Spain
"""Old vs New System"" conflict","China (Yangzi valley and south), 1913",10000,1913,0,China
"""White Wolf"" conflict","China, 1914",10000,1914,0,China
October Revolution (Bolshevik Revolution),"Russia, 1917",10000,1917,0,Russia
,"Mexico, 1926-30",10000,1926,4,Mexico
,"Greece, 1944-45",10000,1944,1,Greece
,"France-Algeria, 1945",10000,1945,0,France
,"Laos (with intervention by US and South Vietnam), 1959-62",10000,1959,3,Laos
Sino-Indian War,"India-China, 1962",10000,1962,0,India
Western Sahara War,"Morocco, Mauritania (until 1979)-Western Saharans (aided by Algeria), 1975-88",10000,1975,13,Morocco
Kurkish Rebellion,"Iraq, 1985-91",10000,1985,6,Iraq
,"Liberia, 1989-1990",10000,1989,1,Liberia
War of Croatian Independence,"Yugoslavia (Croatia), 1991-93",10000,1991,2,Yugoslavia
,"Congo (Brazzaville), 1997",10000,1997,0,Congo
,"Yugoslavia (Kosovo), 1998-99",10000,1998,1,Yugoslavia
,"Russia-(Poland-Lithuania), 1534-36",9600,1534,3,Russia
War of the Polish Auxiliaries,"Transylvania-Poland, Tartars, 1657",9600,1657,0,Transylvania
Genocide of Tutsi,"Rwanda (with intervention from Burundi), 1963-64 G",9500,1963,1,Rwanda
Green Rebellion,"Russia (Greens), 1920-21",9200,1920,1,Russia
,"Poland-Turkey, Tartars, 1616-17",9000,1616,1,Poland
Swedish-Prussian War,"Sweden-Prussia, Poland, 1625-29",9000,1625,4,Sweden
,"Britain-Holland, 1780-83",9000,1780,3,United_Kingdom
Bharatpuran Intervention,"Britain-India (Bharatpur), 1825-26",9000,1825,1,United_Kingdom
Ambela Campaign,"Bengal (Muslims)-Britain, 1863",9000,1863,0,Bengal
,Russia-Turkestan 1916,9000,1916,0,Russia
,"Philippines, 1950-52",9000,1950,2,Philippines
Genocide of Baluchi tribesmen,"Pakistan (Baluchistan), 1973-77 G",8600,1973,4,Pakistan
,"China (Miao in Hunan), 1475",8500,1475,0,China
War of the League of Venice,"Pope, Spain, emperor, Venice, Milan-France, 1495-98",8500,1495,3,Pope
Anglo-French War,"England-France, 1544-46",8250,1544,2,England
Lithuanian Revolt,"Teutonic Order-(Poland-Lithuania), 1434-35",8000,1434,1,Teutonic Order
,"Austria-Turkey, 1512-19",8000,1512,7,Austria
Moldavian Revolt,"Turkey, Tatars-Moldavia, 1538",8000,1538,0,Turkey
Schmalkaldic War,"Emperor, German allies, pope-Protestant German states, Bohemia, 1546-47",8000,1546,1,Emperor
Second Huguenot War,"France (Huguenots), 1567-68",8000,1567,1,France
,"China (Guangxi), 1571-80",8000,1571,9,China
,"China (minority in Guangxi), 1573",8000,1573,0,China
,"Emperor-Poland, 1587-88",8000,1587,1,Emperor
Russo-Swedish War,"Sweden-Russia, 1613-17",8000,1613,4,Sweden
,"Russia-Poland, 1617-18",8000,1617,1,Russia
First Russo-Polish War,"Russia, Cossacks-Poland, 1654-56",8000,1654,2,Russia
,"Sweden-Russia, 1657-58",8000,1657,1,Sweden
Spanish-Algerine War,"Spain-Algiers, 1775",8000,1775,0,Spain
Seminole War,"USA-Seminoles, 1818",8000,1818,0,United_States
Black Hawk War,"USA-Sac, Fox, 1832",8000,1832,0,United_States
First Montenegran War,"Montenegro-Turkey, 1852-53",8000,1852,1,Montenegro
War of the Reform (Three Years War),"Mexico, 1858-61",8000,1858,3,Mexico
,"Italy-Austria, 1866",8000,1866,0,Italy
Madagascan Conquest,"France-Madagascar, 1894-1905",8000,1894,11,France
Druze War,"Syrians (Druzes and Arabs)-France, 1925-27",8000,1925,2,Syrians
Palestine War,"Transjordan, Egypt, Syria, Iraq, Lebanon-Israel, 1948-49",8000,1948,1,Transjordan
,"Burma (communists), 1948-54",8000,1948,6,Myanmar_[Burma]
War of Mantuan Succession,"Savoy, Spain, emperor-Mantua, France, 1628-31",7800,1628,3,Savoy
,"China (Liaoning, Hebei, Shenxi, Shanxi, Gansu, Ningxia, Mongolia), 1552-67",7550,1552,15,China
Polish-Turkish War,"Poland, Moldavians, Cossacks-Turkey, Tartars, 1620-21",7500,1620,1,Poland
Anglo-Spanish War (West Indies),"England-Spain (West Indies), 1655-57",7500,1655,2,England
,"Afghanistan, 1928-29",7500,1928,1,Afghanistan
,"Iran, 1978-79",7500,1978,1,Iran
Turko-Cypriot War,"Turkey-Cyprus, 1974",7300,1974,0,Turkey
,"Poland-Moldavia, 1501-06",7200,1501,5,Poland
Russo-Persian War,"Persia-Russia (Georgia, Armenia), 1825-28",7200,1825,3,Persia
,"China (Miao in Sichuan), 1454",7000,1454,0,China
,"China (Guangxi), 1508",7000,1508,0,China
,"China (Fujian), 1516-18",7000,1516,2,China
Algerian Expedition,"Emperor (Spain)-Algiers (Turkey), 1541",7000,1541,0,Emperor in Spain
,"United Provinces-Portugal (Malabar?), 1663-69 ?",7000,1663,6,United Provinces
Thokoly's Revolt,"Austria (Hungary), 1678-83",7000,1678,5,Austria
,"Spain-England, 1795-1801",7000,1795,6,Spain
United Irishmen Revolt,"Ireland-Britain, 1795-98",7000,1795,3,Ireland
Tripoli War,"USA-Tripoli, 1801-05",7000,1801,4,United_States
Tecumseh War,"USA-Shawnee, 1811",7000,1811,0,United_States
Spanish Civil War,"Spain (revolution suppressed with help from France), 1820-23",7000,1820,0,Spain
La Plata War,"Argentina, Uruguay-Brazil, 1825-28",7000,1825,3,Argentina
Egypto-Ethiopian War,"Egypt-Ethiopia, 1874-76",7000,1874,2,Egypt
,"Burma (Karens), 1980-95",7000,1980,15,Myanmar_[Burma]
Nagorno-Karabakh War,"Azerbaijan-Armenia, 1992-94",7000,1992,2,Azerbaijan
,"Indonesia (East Timor), 1999",7000,1999,0,Indonesia
Samil Independence Movement,"Japan-Korea, 1919-20",6670,1919,1,Japan
Black Flag War,"France-Tonkin (Vietnam) (with Chinese support), 1882-83",6500,1882,1,France
Hunyadi War,"Hungary-Poland, 1471-78",6400,1471,7,Hungary
Savoyard Invasion of Switzerland,"Savoy-Geneva, 1588-89",6300,1588,1,Savoy
Armenian Massacre,"Turkey-Armenia, 1909",6300,1909,0,Turkey
,"China (Yao in Guangxi, Hua[n]?an), 1465",6200,1465,0,China
,"China (minority in Sichuan), 1573",6136,1573,0,China
,"(Poland-Lithuania)-Teutonic Order, 1413-22",6000,1413,9,(Poland-Lithuania)
,"Emperor-Turkey, 1469-75",6000,1469,6,Emperor
Ottoman War,"Turkey-Bohemia, Hungary, emperor, 1490-95",6000,1490,5,Turkey
,"China (Miao in Guangxi), 1495",6000,1495,0,China
,"France-England, 1548-50",6000,1548,2,France
Scottish War,"Scotland-France (with intervention by England), 1559-60",6000,1559,1,Scotland
Insurrection in Munster,"England-Munster (southern Ireland), 1569-83",6000,1569,14,England
,"Poland (Cossacks of Sagaidatchny), 1597-99",6000,1597,2,Poland
Austro-Venetian War,"Venice (aided by United Provinces)-Uskoks, Austria (Styria), 1615-18",6000,1615,3,Venice
Spanish-English War,"England-Spain, 1624-30",6000,1624,6,England
,"Spain-Britain, 1803-08",6000,1803,5,Spain
Indonesian War,"Britain-Holland (Java), 1810-11",6000,1810,1,United_Kingdom
,"Central American Federation, 1839-40",6000,1839,1,Central American Federation
,"Spain, 1847-49",6000,1847,2,Spain
Schleswig-Holstein Revolt,"Prussia-Denmark, Sweden (Schleswig-Holstein), 1848-49",6000,1848,1,Prussia
,"USA-American Indians (Sioux), 1862-67",6000,1862,5,United_States
Bosnian War,"Bosnia, Hergezovina-(Austria-Hungary), 1878",6000,1878,0,Bosnia
Third Burma War,"Britain-Burma, 1885-94",6000,1885,9,United_Kingdom
Somali Rebellion,"Somalis-Britain, Italy, Ethiopia, 1899-1905",6000,1899,6,Somalis
First Moroccan War,"France-Morocco, 1907",6000,1907,0,France
,"Zimbabwe (Matabeleland and Midlands), 1981-87",6000,1981,6,Zimbabwe
,"Brittany, England-France, 1488-92",5600,1488,4,Brittany
Battle of Pinkie,"England-Scotland (with French involvement), 1544-47",5500,1544,3,England
Revolt of the Tarnograd Confederation ?,"Poland, 1715-17",5500,1715,2,Poland
Irish Convict Rebellion,"Australia, 1804",5500,1804,0,Australia
Genocide of Europeans and educated Congolese,"Zaire, 1964-65 G",5500,1964,1,Zaire
Israeli-Egyptian War,"Egypt-Israel, 1969-70",5500,1969,1,Egypt
,"China (Guangdong, Hainan), 1550",5400,1550,0,China
First Mysore War,"Mysore-Britain (India), 1766-69",5345,1766,3,Mysore
,"Scotland (with French support)-England, 1547-50",5250,1547,3,Scotland
Candian War,"Venice-Turkey (with French participation), 1667-69",5250,1667,2,Venice
,"China (Sichuan), 1467-68",5000,1467,1,China
,"China-Tartars (Lianoning), 1523",5000,1523,0,China
,"China (Guangdong, Hainan), 1542",5000,1542,0,China
O'Neill's Rebellion (Tyrone's Rebellion),"England (Ireland, with intervention by Spain in 1601), 1594-1603",5000,1594,9,England
Mitsunori rebellion,"Japan (Gifu ken), 1600",5000,1600,0,Japan
Ottoman War,"Spain-Turkey, 1610-14",5000,1610,4,Spain
Spanish-Venetian War,"Spain-Venice, 1617-21",5000,1617,4,Spain
Cromwell's Scottish Campaign,"England (Scotland), 1650-52",5000,1650,2,England
Reunion War,"France-Spain, emperor, 1683-84",5000,1683,1,France
Pugachev Revolt,"Russia (Pugachev revolt), 1773-74",5000,1773,1,Russia
,"France-Central Africa ? (Koukou-Nor), 1807",5000,1807,0,France
,"Chile-Spain, 1810-18",5000,1810,8,Chile
War of 1812,"USA-Britain, 1812-15",5000,1812,3,United_States
"San Martin’s expedition to Chile and Peru, 1817-20","Argentina, Chile, Peru-Spain, 1817-21",5000,1817,4,Argentina
,"Mexico-Spain, 1821-22",5000,1821,1,Mexico
Albanian War,"Albania, Bosnians, Herzogovinians-Turkey, 1830-31",5000,1830,1,Albania
Khivan Conquest,"Russia-Khiva (Uzbekistan), 1839-40",5000,1839,1,Russia
Roman Republic War,"Rome-France, Spain, Austria, Naples, 1848-49",5000,1848,1,Rome
,"Brazil (Canudos in Bahia), 1896-97",5000,1896,1,Brazil
,"Russia (Blagoveshchensk), 1900",5000,1900,0,Russia
Second Zulu War,"Zulus-Britain (Natal? South Africa), 1906",5000,1906,0,Zulus
Franco-Syrian War,"France-Syria, 1919-20",5000,1919,1,France
,"Dominican Republic-Haiti (massacre of Haitians in DR), 1937",5000,1937,0,Dominican_Republic
Indonesian War,"Netherlands, Britain-Indonesia, 1945-46",5000,1945,1,Netherlands
,"Indonesia (South Moluccas), 1950",5000,1950,0,Indonesia
,"Cuba, 1956-59",5000,1956,3,Cuba
,"Chile, 1973",5000,1973,0,Chile
Kurdish Autonomy War,"Iraq, Iran-Kurds, 1974-75",5000,1974,1,Iraq
Genocide of Muslims,"Burma, 1978 G",5000,1978,0,Myanmar_[Burma]
,"Nigeria, 1980-81",5000,1980,1,Nigeria
Football War,"El Salvador-Honduras, 1969",4900,1969,0,El_Salvador
,"Novgorod, Pskov-Lithuania, 1426-28",4800,1426,2,Novgorod
,"(Poland-Lithuania)-Muscovy, 1507-08",4800,1507,1,(Poland-Lithuania)
Russo-Swedish War,"Muscovy-Sweden, 1554-57",4800,1554,3,Muscovy
Russo-Swedish War,"Russia, Lithuania-Sweden, 1590-95",4800,1590,5,Russia
Great Irish Rebellion,"England (Ireland), 1641-49",4800,1641,8,England
,"China (Guangxi), 1506",4700,1506,0,China
,"Muscovy-Kazan Tartars, 1467-69",4500,1467,2,Muscovy
Franco-Burgundian War,"France-Burgundy, 1471-72",4500,1471,1,France
,"England-Scotland, 1482-84",4500,1482,2,England
,"Scotland-England, 1532-34",4500,1532,2,Scotland
,"Montenegro-Turkey, 1858-59",4400,1858,1,Montenegro
Second Schleswig-Holstein War,"Prussia, Austria-Denmark, 1864",4312,1864,0,Prussia
Battle of Navarino,"France, England, Russia-Turkey, Egypt, 1827",4300,1827,0,France
